ID;Nom;Statut;Etape;Pipeline;Montant HT;Probabilite %;Date cloture;Client;Email client;Responsable;Tags;Source;Date creation;Description
5147452;77-Hôtel Magic Circus-Magny le Hongre-Habillage palissade-202110;lost;Devis froid;Commercial;10653.36;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-19;
5157091;75-MTTB-Paris-Altize-202110;lost;Devis froid;Commercial;5955.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-19;
5157305;92-Eiffage Aménagement-Asnières-Habillage Palissade-202110;lost;Devis tiède;Commercial;50467.40;60;;;;;;Client existant;2021-10-19;
5160560;92-Woodeum-Bagneux-Altize-202110;won;Devis tiède;Commercial;4125.00;60;;;;;;Commercial / Partenaire;2021-10-20;
5163085;34-Marie-Prades Le Lez-Totem-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-20;
5168841;65-Nacarat-Le Touquet-Habillage palissade-202110;lost;Devis tiède;Commercial;10810.15;60;;;;;;Commercial / Partenaire;2021-10-21;
5173516;93-Ville Ouverte-St Denis-Totem-202110;lost;Qualifié;Commercial;14188.74;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-21;
5175536;75-Cougnaud-Paris-Base vie Porte Maillot-202110;closed;Qualifié;Commercial;0.00;0;;;;;;Client existant;2021-10-22;
5176189;33-Mairie-Cenon-Totem-202110;lost;Devis froid;Commercial;9990.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-22;
5177539;77-Promoval-Fontainebleau-Altize-202110;lost;Devis froid;Commercial;4325.00;30;;;;;;Commercial / Partenaire;2021-10-22;
5181397;78-UCG-Epone-Caisson grue-202110;closed;Qualifié;Commercial;5955.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-25;
5182168;85-Buciol-Montaigu-Altize-202110;closed;Devis froid;Commercial;5790.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-25;
5183128;STK-Stockage produit-2021;closed;Identifié;Commercial;0.00;0;;;;;;Aucune;2021-10-25;
5183495;78-Mairie-Croissy sur Seine-Totem-202110;lost;Budget;Commercial;16400.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-25;
5187819;06-Prométhée-Mandelieu-Altize-202110;lost;Devis froid;Commercial;5225.00;30;;;;;;Commercial / Partenaire;2021-10-26;
5189040;75-LVDH-Paris-Façade rue Lepic-202110;won;Devis froid;Commercial;5647.26;30;;;;;;Bouche à oreille / Prescription;2021-10-26;
5195472;92-Firodi-Clichy-Altize Galia-202110;closed;Devis froid;Commercial;5880.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-26;
5198047;01-Algeco-St Jean de Gonville-Bibliotheque-202110;lost;Qualifié;Commercial;7340.00;0;;;;;;Client existant;2021-10-27;
5201354;13-Mairie-Berre l'Etang-Totem-202110;lost;Devis froid;Commercial;36815.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-27;
5202513;78-Cougnaud-Poissy-Bandeau Eiffage-202110;won;Devis froid;Commercial;2451.70;30;;;;;;Client existant;2021-10-27;
5212011;44-Opus Groupe-Nantes-Habillage Design-202110;lost;Devis froid;Commercial;13048.00;30;;;;;;Appel entrant / Emailing / Marketing;2021-10-29;
5212044;94-La Generale de Promotion-Saint Mande-Habillage-202110;lost;Budget;Commercial;0.00;0;;;;;;Commercial / Partenaire;2021-10-29;
5212261;77-Nexity-Melun-4x3-202110;lost;Devis froid;Commercial;4580.00;30;;;;;;Commercial / Partenaire;2021-10-29;
5212343;33-Etixia-Mérignac-Habillage palissade-202110;closed;Budget;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-10-29;
5222619;75-Hibana Immo-Paris-Permis de construire bois-202111;lost;Devis froid;Commercial;900.00;30;;;;;;Commercial / Partenaire;2021-11-02;
5222756;74-Algeco-Faverges-Staubli-202111;lost;Devis froid;Commercial;15800.00;30;;;;;;Client existant;2021-11-02;
5222944;FR-Alila-FR-AO-202111;closed;Budget;Commercial;0.00;0;;;;;;Commercial / Partenaire;2021-11-02;
5241202;75-BVL-Paris-Toile-202111;lost;Devis froid;Commercial;2622.50;30;;;;;;Appel entrant / Emailing / Marketing;2021-11-04;
5243548;69-Adjectif-Lyon-Bache Grue Woodeum-202110;lost;Devis tiède;Commercial;7631.04;60;;;;;;Commercial / Partenaire;2021-11-04;
5249158;78-Stra&act-Mantes La Ville-Totem-202111;lost;Devis froid;Commercial;10657.00;30;;;;;;Client existant;2021-11-05;
5253826;67-Algeco-Strasbourg-PatchGard-202111;won;Devis chaud;Commercial;3620.00;90;;;;;;Client existant;2021-11-08;
5254037;93-Algeco-Aubervilliers-Ecole Agoudat Or Kafoul-202111;closed;Devis froid;Commercial;3354.00;30;;;;;;Client existant;2021-11-08;
5254871;69-K&B-Lyon-Altize Pur Valmy-202111;lost;Devis froid;Commercial;6855.00;30;;;;;;Client existant;2021-11-08;
5256467;75-Altempo-Paris-Habillage bungalow Tour Eiffel-202111;lost;Devis froid;Commercial;114321.40;30;;;;;;Appel entrant / Emailing / Marketing;2021-11-08;
5265299;13-Icone Communication-Aubagne-Altize-202111;closed;Qualifié;Commercial;0.00;0;;;;;;Appel entrant / Emailing / Marketing;2021-11-09;
5267522;67-Bioburger-Strasbourg-Palissade-202111;won;Devis froid;Commercial;4727.30;30;;;;;;Appel entrant / Emailing / Marketing;2021-11-09;
